,Time Stamp,Strategy,Position,Stop Loss,Take Profit,Outcome,Points Gained/Lost
0,2020-09-12 09:38:00,macdRSI,1,10368.386648995536,10415.957624162946,Fail,-1
1,2020-09-12 09:42:00,macdRSI,1,10342.1201171875,10394.791015625,Fail,-1
2,2020-09-12 09:45:00,macdRSI,1,10323.781529017857,10369.247140066964,Success,1
3,2020-09-12 10:18:00,ichimoku200,-1,10365.23744419643,10320.429966517857,Fail,-1
4,2020-09-12 11:02:00,ichimoku200,1,10327.062430245536,10359.628522600446,Success,1
5,2020-09-12 11:03:00,macdRSI,-1,10385.16538783482,10353.755824497768,Success,1
6,2020-09-12 11:07:00,ichimoku200,1,10335.86635044643,10363.956821986607,Success,1
7,2020-09-12 11:07:00,macdRSI,1,10335.86635044643,10363.956821986607,Success,1
8,2020-09-12 11:10:00,ichimoku200,1,10333.879115513393,10364.435232979911,Success,1
9,2020-09-12 11:10:00,macdRSI,1,10333.879115513393,10364.435232979911,Success,1
10,2020-09-12 11:12:00,ichimoku200,1,10338.394949776786,10372.27818080357,Success,1
11,2020-09-12 11:12:00,macdRSI,1,10338.394949776786,10372.27818080357,Success,1
12,2020-09-12 11:15:00,ichimoku200,1,10328.501953125,10370.45263671875,Success,1
13,2020-09-12 11:15:00,macdRSI,1,10328.501953125,10370.45263671875,Success,1
14,2020-09-12 11:16:00,ichimoku200,1,10367.621023995536,10405.450788225446,Fail,-1
15,2020-09-12 11:16:00,macdRSI,1,10367.621023995536,10405.450788225446,Fail,-1
16,2020-09-12 11:17:00,ichimoku200,1,10359.76918247768,10393.639683314732,Fail,-1
17,2020-09-12 11:18:00,ichimoku200,1,10366.006905691964,10399.097551618304,Fail,-1
18,2020-09-12 11:19:00,macdRSI,-1,10387.233816964286,10349.38853236607,Success,1
19,2020-09-12 11:20:00,ichimoku200,1,10318.4501953125,10364.31201171875,Success,1
20,2020-09-12 11:21:00,macdRSI,-1,10408.3134765625,10355.3447265625,Fail,-1
21,2020-09-12 11:22:00,ichimoku200,1,10307.152622767857,10370.579659598214,Success,1
22,2020-09-12 11:23:00,ichimoku200,1,10380.884068080357,10449.992257254464,Fail,-1
23,2020-09-12 11:23:00,macdRSI,1,10380.884068080357,10449.992257254464,Fail,-1
24,2020-09-12 11:24:00,ichimoku200,1,10348.383370535714,10415.12513950893,Fail,-1
25,2020-09-12 11:24:00,macdRSI,1,10348.383370535714,10415.12513950893,Fail,-1
26,2020-09-12 11:25:00,ichimoku200,1,10345.938406808036,10413.094342912946,Fail,-1
27,2020-09-12 11:25:00,macdRSI,1,10345.938406808036,10413.094342912946,Fail,-1
28,2020-09-12 11:26:00,ichimoku200,1,10359.15513392857,10423.279017857143,Fail,-1
29,2020-09-12 11:26:00,macdRSI,1,10359.15513392857,10423.279017857143,Fail,-1
30,2020-09-12 11:27:00,ichimoku200,1,10355.377720424107,10414.57013811384,Fail,-1
31,2020-09-12 11:27:00,macdRSI,1,10355.377720424107,10414.57013811384,Fail,-1
32,2020-09-12 11:28:00,ichimoku200,1,10355.77183314732,10416.515590122768,Fail,-1
33,2020-09-12 11:28:00,macdRSI,1,10355.77183314732,10416.515590122768,Fail,-1
34,2020-09-12 11:29:00,ichimoku200,1,10348.09486607143,10404.400669642857,Fail,-1
35,2020-09-12 11:29:00,macdRSI,1,10348.09486607143,10404.400669642857,Fail,-1
36,2020-09-12 11:31:00,macdRSI,1,10321.954310825893,10383.59685407366,Success,1
37,2020-09-12 11:32:00,macdRSI,1,10330.806640625,10391.8759765625,Fail,-1
38,2020-09-12 11:33:00,macdRSI,1,10336.877162388393,10392.613943917411,Fail,-1
39,2020-09-12 11:35:00,macdRSI,1,10336.210518973214,10375.91371372768,Fail,-1
40,2020-09-12 11:37:00,macdRSI,-1,10376.953404017857,10352.628976004464,Success,1
41,2020-09-12 11:38:00,ichimoku200,-1,10356.396484375,10329.208984375,Fail,-1
42,2020-09-12 11:38:00,macdRSI,-1,10356.396484375,10329.208984375,Fail,-1
43,2020-09-12 11:41:00,ichimoku200,-1,10415.333077566964,10366.360735212054,Success,1
44,2020-09-12 11:41:00,macdRSI,-1,10415.333077566964,10366.360735212054,Success,1
45,2020-09-12 11:48:00,macdRSI,1,10334.39732142857,10404.822474888393,Fail,-1
46,2020-09-12 11:49:00,ichimoku200,-1,10387.57421875,10311.9345703125,Fail,-1
47,2020-09-12 11:49:00,macdRSI,-1,10387.57421875,10311.9345703125,Fail,-1
48,2020-09-12 11:50:00,ichimoku200,-1,10344.911342075893,10269.16619001116,Fail,-1
49,2020-09-12 11:50:00,macdRSI,-1,10344.911342075893,10269.16619001116,Fail,-1
50,2020-09-12 11:52:00,ichimoku200,-1,10415.37827845982,10328.646449497768,Success,1
51,2020-09-12 11:52:00,macdRSI,-1,10415.37827845982,10328.646449497768,Success,1
52,2020-09-12 11:53:00,macdRSI,1,10311.979910714286,10389.52769252232,Success,1
53,2020-09-12 11:54:00,ichimoku200,-1,10393.125069754464,10313.447160993304,Fail,-1
54,2020-09-12 11:54:00,macdRSI,-1,10393.125069754464,10313.447160993304,Fail,-1
55,2020-09-12 11:55:00,ichimoku200,-1,10375.14990234375,10307.712158203123,Fail,-1
56,2020-09-12 11:56:00,ichimoku200,-1,10370.158272879464,10311.742571149554,Fail,-1
57,2020-09-12 11:57:00,ichimoku200,-1,10368.93798828125,10319.014892578123,Fail,-1
